broker,date,stock,value,
1004,01/04/2023,fail,,
1001,01/04/2023,Bennys Radiators,324.12$,
1004,01/04/2023,Microsoft Corporation,5236.8$,
1005,01/04/2023,3001,-2007.52$,
Alden Kupferberg,02/04/2023,Shimi TechPower,564.3$,
Donnie Azoff,02/04/2023,3001,14,
1001,02/04/2023,Apple inc.,4988.8$,
1006,02/04/2023,3008,162.96$,
Brad Bodnick,03/04/2023,Amazon.com inc.,2588.42$,
1004,03/04/2023,3001,4867.59$,
Brad Bodnick,03/04/2023,Microsoft Corporation,17681.97$,
1001,03/04/2023,3004,2694.96$,
1001,03/04/2023,no sale,,
Rugrat,04/04/2023,almost,,
1001,04/04/2023,Amazon.com inc.,11515.5$,
Mark Hanna,04/04/2023,3003,11515.5$,
Jordan Belfort,04/04/2023,3001,5152.47$,
Brad Bodnick,05/04/2023,Tesla,-589.95$,
1004,05/04/2023,3005,5340.89$,
Brad Bodnick,06/04/2023,Facebook inc.,3706.56$,
1005,06/04/2023,Bennys Radiators,35.36$,
1006,06/04/2023,cheap f***,,
Alden Kupferberg,07/04/2023,3005,14493.39$,
1004,07/04/2023,3009,164.22$,
1005,07/04/2023,3009,461.38$,
Alden Kupferberg,07/04/2023,Microsoft Corporation,-4,
1005,08/04/2023,3007,278.46$,
1007,08/04/2023,3004,51,
1006,09/04/2023,3008,78,
1004,09/04/2023,3006,6495.12$,
1004,09/04/2023,Shimi TechPower,62,
Rugrat,10/04/2023,Bennys Radiators,114.66$,
Alden Kupferberg,10/04/2023,3007,114.66$,
Rugrat,10/04/2023,Johnson & Johnson,1574.1$,
1006,10/04/2023,3005,5,
1005,10/04/2023,3001,2327.88$,
Alden Kupferberg,10/04/2023,3001,2327.88$,
1005,10/04/2023,fail,,
1001,11/04/2023,3002,14753.88$,
Rugrat,12/04/2023,3005,14789$,
1006,12/04/2023,3003,4822.72$,
1006,12/04/2023,3003,4822.72$,
Rugrat,12/04/2023,3003,12659.64$,
1006,12/04/2023,3002,61,
1006,12/04/2023,3002,15878.91$,
1005,12/04/2023,no sale,,
1003,13/04/2023,Apple inc.,6401.72$,
1003,13/04/2023,Microsoft Corporation,4996.43$,
1003,13/04/2023,3002,8415.04$,
1006,14/04/2023,3001,12234.42$,
Rugrat,14/04/2023,3001,12234.42$,
1002,14/04/2023,Shimi TechPower,-134.1$,
Jordan Belfort,14/04/2023,Shimi TechPower,-134.1$,
Donnie Azoff,14/04/2023,Apple inc.,11492.94$,
Jordan Belfort,14/04/2023,3001,11492.94$,
1006,14/04/2023,3003,3666.24$,
1005,14/04/2023,3003,3666.24$,
Brad Bodnick,15/04/2023,3007,92.4$,
Brad Bodnick,15/04/2023,3002,3,
1005,15/04/2023,3007,409.2$,
Mark Hanna,15/04/2023,3005,318.76$,
1003,16/04/2023,3001,5690.2$,
Mark Hanna,16/04/2023,Tesla,11406$,
1006,16/04/2023,Tesla,11406$,
1003,16/04/2023,3006,-31,
1006,16/04/2023,Tesla,-31,
Jordan Belfort,16/04/2023,call later maybe,,
1006,16/04/2023,no sale,,
Brad Bodnick,17/04/2023,3005,20748.56$,
1004,18/04/2023,Talia Home Design,-78$,
Brad Bodnick,18/04/2023,3008,-78$,
1003,18/04/2023,3008,-10,
1004,18/04/2023,3006,114$,
Brad Bodnick,18/04/2023,Tesla,1,
1004,18/04/2023,Microsoft Corporation,7557.6$,
Brad Bodnick,18/04/2023,3002,30,
Mark Hanna,18/04/2023,3002,7557.6$,
1001,18/04/2023,3002,15619.04$,
1004,18/04/2023,Bennys Radiators,335.16$,
1004,18/04/2023,Apple inc.,55,
1004,18/04/2023,Apple inc.,6805.15$,
Mark Hanna,18/04/2023,Apple inc.,6805.15$,
1004,18/04/2023,Shimi TechPower,399.2$,
1004,18/04/2023,3009,399.2$,
1003,18/04/2023,3009,399.2$,
1004,18/04/2023,3002,7557.6$,
Brad Bodnick,18/04/2023,Microsoft Corporation,7557.6$,
1004,18/04/2023,3006,-5,
Brad Bodnick,18/04/2023,Tesla,-570$,
Mark Hanna,18/04/2023,Tesla,-5,
1003,18/04/2023,must call soon,,
Jordan Belfort,18/04/2023,no sale,,
1006,19/04/2023,must call soon,,
1005,19/04/2023,Microsoft Corporation,-2284.56$,
1001,19/04/2023,3003,6276.69$,
1003,19/04/2023,3001,5,
1007,19/04/2023,3001,-123.34$,
1006,20/04/2023,3001,7800.03$,
Rugrat,20/04/2023,3002,2509.2$,
1006,20/04/2023,3006,-801.99$,
1006,20/04/2023,Tesla,2062.26$,
Brad Bodnick,20/04/2023,must call soon,,
1004,21/04/2023,3001,-1476.6$,
1001,22/04/2023,3001,4187.78$,
1001,22/04/2023,3006,935.2$,
Rugrat,22/04/2023,cheap f***,,
1004,23/04/2023,3001,-1236.8$,
1005,23/04/2023,3005,23304.4$,
1007,23/04/2023,3005,70,
1005,23/04/2023,3005,8655.92$,
Brad Bodnick,23/04/2023,3008,316.68$,
Jordan Belfort,23/04/2023,3001,19,
Brad Bodnick,23/04/2023,Tesla,2349$,
1004,23/04/2023,3006,2349$,
Donnie Azoff,24/04/2023,Tesla,69,
1001,24/04/2023,3002,10779.67$,
Rugrat,24/04/2023,Microsoft Corporation,17548.3$,
1004,24/04/2023,3001,8443.56$,
1002,24/04/2023,3003,3,
Alden Kupferberg,24/04/2023,fail,,
1005,24/04/2023,almost,,
Rugrat,25/04/2023,3005,13531.64$,
1004,25/04/2023,Talia Home Design,-223.56$,
Jordan Belfort,25/04/2023,3005,-7590.92$,
1002,25/04/2023,3001,-24,
Rugrat,25/04/2023,Amazon.com inc.,5371.45$,
Jordan Belfort,26/04/2023,Apple inc.,-5005.6$,
Rugrat,26/04/2023,0,,
1003,27/04/2023,3003,9264$,
1006,28/04/2023,3007,178.4$,
Donnie Azoff,28/04/2023,no sale,,
1004,28/04/2023,no sale,,
Rugrat,29/04/2023,must call soon,,
Rugrat,29/04/2023,3002,-4027.2$,
1004,29/04/2023,Tesla,26,
1004,29/04/2023,3005,11925.5$,
1005,29/04/2023,3004,-804.37$,
Alden Kupferberg,30/04/2023,3001,2579.64$,
1003,30/04/2023,3002,39,
1006,30/04/2023,3009,17,
1007,30/04/2023,cheap f***,,
