broker,date,stock,value,
Rugrat,01/01/2023,Tesla,8580$,
Donnie Azoff,01/01/2023,3007,396$,
1001,01/01/2023,no sale,,
1005,02/01/2023,3004,3397.02$,
1005,03/01/2023,3001,18,
1006,04/01/2023,3003,5874.33$,
1001,05/01/2023,3001,8668.22$,
Jordan Belfort,05/01/2023,Bennys Radiators,76.19$,
1001,05/01/2023,next time,,
Mark Hanna,06/01/2023,3005,19988.18$,
1001,06/01/2023,3001,11116$,
1006,06/01/2023,Tesla,9528.16$,
1001,06/01/2023,Shimi TechPower,347.1$,
Mark Hanna,06/01/2023,3009,31.15$,
Jordan Belfort,06/01/2023,3003,-1060.38$,
1002,07/01/2023,3007,332.83$,
Brad Bodnick,07/01/2023,3008,21,
1006,07/01/2023,Talia Home Design,21,
1004,07/01/2023,3002,8239.68$,
Alden Kupferberg,07/01/2023,3002,8239.68$,
Rugrat,07/01/2023,Bennys Radiators,356.89$,
1001,07/01/2023,Facebook inc.,22,
1002,07/01/2023,3009,-33.12$,
Jordan Belfort,08/01/2023,3006,12180.18$,
Brad Bodnick,08/01/2023,3008,325.92$,
1004,08/01/2023,Johnson & Johnson,11541$,
1007,08/01/2023,Apple inc.,10296.36$,
1001,08/01/2023,3009,-37.44$,
Brad Bodnick,08/01/2023,must call soon,,
1004,09/01/2023,no sale,,
1004,09/01/2023,3005,20365.56$,
1005,09/01/2023,3003,11743.76$,
Alden Kupferberg,10/01/2023,3001,11695.32$,
1001,10/01/2023,3001,3202.29$,
1001,10/01/2023,3001,90,
1006,10/01/2023,3004,725.06$,
Brad Bodnick,11/01/2023,Shimi TechPower,28,
Alden Kupferberg,11/01/2023,3001,9544.08$,
1006,11/01/2023,cheap f***,,
1003,13/01/2023,Johnson & Johnson,17953.73$,
1004,13/01/2023,3005,17953.73$,
1006,13/01/2023,3005,97,
1003,13/01/2023,3008,113,
Brad Bodnick,13/01/2023,3008,666.7$,
1006,13/01/2023,3008,666.7$,
Alden Kupferberg,14/01/2023,3002,19122.96$,
Jordan Belfort,14/01/2023,next time,,
1004,15/01/2023,no sale,,
Alden Kupferberg,15/01/2023,no sale,,
1004,15/01/2023,Apple inc.,34,
1002,15/01/2023,Facebook inc.,94,
1001,15/01/2023,Johnson & Johnson,7633.6$,
Brad Bodnick,16/01/2023,3007,21,
Alden Kupferberg,17/01/2023,3008,102,
1006,17/01/2023,3001,114,
1001,17/01/2023,3006,2888.4$,
1006,17/01/2023,Apple inc.,4130.7$,
1006,18/01/2023,3003,11100.16$,
1003,18/01/2023,3002,7682.76$,
1001,19/01/2023,Tesla,15831.72$,
1001,19/01/2023,3003,6419.13$,
1002,20/01/2023,Apple inc.,22,
1001,20/01/2023,3001,2904.72$,
1002,20/01/2023,Bennys Radiators,130.56$,
1004,20/01/2023,almost had him this time,,
1001,20/01/2023,next time,,
Mark Hanna,20/01/2023,didn't answer,,
1002,21/01/2023,3006,7834.32$,
Robbie Feinberg,21/01/2023,Bennys Radiators,44.99$,
1004,21/01/2023,3007,44.99$,
Robbie Feinberg,21/01/2023,3006,13782.6$,
1004,21/01/2023,3006,13782.6$,
1007,22/01/2023,3005,21104.68$,
1001,22/01/2023,3008,310.96$,
1002,23/01/2023,Talia Home Design,556.14$,
Rugrat,23/01/2023,3005,21,
Jordan Belfort,23/01/2023,3001,4226.23$,
1006,23/01/2023,3001,116,
1002,23/01/2023,3009,37,
1005,23/01/2023,3008,41.86$,
1003,23/01/2023,must call soon,,
1005,24/01/2023,must call soon,,
1004,24/01/2023,3001,8974.68$,
1001,24/01/2023,3007,118.61$,
1004,24/01/2023,Shimi TechPower,-24.48$,
1006,25/01/2023,3007,118,
1001,25/01/2023,3005,51,
Rugrat,25/01/2023,Apple inc.,10,
1005,26/01/2023,Johnson & Johnson,21382.32$,
Alden Kupferberg,26/01/2023,fail,,
1001,26/01/2023,didn't answer,,
1003,27/01/2023,3005,23182.6$,
1004,27/01/2023,Johnson & Johnson,23182.6$,
Mark Hanna,27/01/2023,Microsoft Corporation,15570.1$,
1004,27/01/2023,Microsoft Corporation,15570.1$,
1003,27/01/2023,Microsoft Corporation,8,
1004,27/01/2023,3002,1779.44$,
1005,28/01/2023,3007,45,
Rugrat,28/01/2023,3007,184.95$,
1006,28/01/2023,3001,10427.34$,
Brad Bodnick,28/01/2023,Talia Home Design,675.4$,
Rugrat,28/01/2023,Talia Home Design,12.28$,
Rugrat,28/01/2023,Talia Home Design,12.28$,
Brad Bodnick,29/01/2023,3002,12593.28$,
Brad Bodnick,29/01/2023,3008,31,
1006,29/01/2023,0,,
Robbie Feinberg,29/01/2023,call later maybe,,
1002,30/01/2023,no sale,,
Brad Bodnick,30/01/2023,fail,,
1001,30/01/2023,3007,107.38$,
1005,30/01/2023,Apple inc.,7025.72$,
1001,30/01/2023,Apple inc.,52,
1005,30/01/2023,3001,9863.03$,
Jordan Belfort,30/01/2023,3001,9863.03$,
1004,30/01/2023,Johnson & Johnson,10730.5$,
1005,30/01/2023,3001,12835.45$,
Jordan Belfort,31/01/2023,3001,11975.92$,
1003,31/01/2023,fail,,
Donnie Azoff,31/01/2023,no sale,,
