broker,date,stock,value,
1005,01/03/2023,3002,112,
1005,02/03/2023,3001,10324.8$,
1003,02/03/2023,almost,,
1003,03/03/2023,almost,,
Robbie Feinberg,03/03/2023,3004,6305.76$,
1001,03/03/2023,3001,14417.76$,
1006,03/03/2023,3008,609.84$,
1001,03/03/2023,3009,93,
Robbie Feinberg,03/03/2023,3002,2565.86$,
Donnie Azoff,04/03/2023,3007,40,
Mark Hanna,04/03/2023,3008,254.93$,
1003,04/03/2023,Facebook inc.,8592.83$,
1002,04/03/2023,Talia Home Design,206.7$,
1005,05/03/2023,3002,25432$,
1006,05/03/2023,3002,25432$,
1006,05/03/2023,3007,405.65$,
Rugrat,05/03/2023,3007,435.54$,
Alden Kupferberg,05/03/2023,3007,435.54$,
1001,05/03/2023,call later maybe,,
Rugrat,07/03/2023,3003,1556.7$,
Donnie Azoff,07/03/2023,Johnson & Johnson,21798$,
Rugrat,08/03/2023,Tesla,1836$,
1003,08/03/2023,3001,3300.7$,
1004,08/03/2023,3007,33,
1001,08/03/2023,3006,6732$,
1005,08/03/2023,3008,262.58$,
1003,08/03/2023,3006,1713.6$,
Donnie Azoff,08/03/2023,no sale,,
Rugrat,09/03/2023,no sale,,
1001,09/03/2023,no,,
Donnie Azoff,09/03/2023,3009,300.3$,
1003,09/03/2023,Talia Home Design,532.76$,
1004,10/03/2023,Facebook inc.,-15,
Brad Bodnick,10/03/2023,3009,4,
Robbie Feinberg,10/03/2023,cheap f***,,
Alden Kupferberg,10/03/2023,no sale,,
1002,11/03/2023,Bennys Radiators,66,
Mark Hanna,11/03/2023,3003,8530.38$,
Brad Bodnick,11/03/2023,3007,129.3$,
1006,12/03/2023,3003,13746.48$,
1004,12/03/2023,3005,9515.55$,
1006,12/03/2023,3006,4261.25$,
1006,12/03/2023,3009,315.4$,
1006,12/03/2023,3008,12,
1004,12/03/2023,3002,1210.1$,
1004,12/03/2023,no,,
Rugrat,13/03/2023,fail,,
Donnie Azoff,13/03/2023,Microsoft Corporation,10974.68$,
1002,14/03/2023,Bennys Radiators,363.72$,
1001,15/03/2023,3008,56,
1005,15/03/2023,Apple inc.,53,
Jordan Belfort,15/03/2023,Tesla,6,
1006,15/03/2023,0,,
Rugrat,15/03/2023,cheap f***,,
1007,16/03/2023,must call soon,,
Donnie Azoff,16/03/2023,call later maybe,,
1005,16/03/2023,fail,,
Brad Bodnick,16/03/2023,Talia Home Design,213.6$,
Rugrat,17/03/2023,3005,-4903.84$,
Rugrat,17/03/2023,Johnson & Johnson,-4903.84$,
Jordan Belfort,17/03/2023,3002,-3123.77$,
1001,17/03/2023,next time,,
Brad Bodnick,18/03/2023,no,,
1001,18/03/2023,3002,8456.7$,
1004,18/03/2023,Microsoft Corporation,8456.7$,
Alden Kupferberg,18/03/2023,3001,6441.24$,
1003,18/03/2023,3004,3416.82$,
Jordan Belfort,18/03/2023,3002,-7,
1004,18/03/2023,3002,-1691.34$,
1003,19/03/2023,3006,359.76$,
1002,19/03/2023,3001,10688.94$,
Mark Hanna,19/03/2023,Apple inc.,10688.94$,
Donnie Azoff,19/03/2023,3009,-59.78$,
Mark Hanna,19/03/2023,3009,-59.78$,
1007,19/03/2023,must call soon,,
Jordan Belfort,20/03/2023,fail,,
Jordan Belfort,20/03/2023,3005,319.3$,
1002,21/03/2023,3007,148.24$,
Rugrat,21/03/2023,almost,,
1007,22/03/2023,0,,
1006,22/03/2023,3005,-319.46$,
1004,22/03/2023,3001,5766.56$,
Mark Hanna,22/03/2023,3005,28751.4$,
1007,22/03/2023,3005,28751.4$,
Jordan Belfort,22/03/2023,3002,6716.25$,
Robbie Feinberg,22/03/2023,3004,8622.12$,
Brad Bodnick,22/03/2023,Microsoft Corporation,-8,
1006,22/03/2023,Bennys Radiators,143.55$,
Brad Bodnick,22/03/2023,Tesla,-848.89$,
1004,23/03/2023,3001,6186.25$,
1001,23/03/2023,Apple inc.,-16,
Alden Kupferberg,23/03/2023,3001,9468.75$,
Mark Hanna,23/03/2023,3006,-2071.96$,
1003,23/03/2023,3005,2531.36$,
1003,23/03/2023,Tesla,5850.24$,
Brad Bodnick,23/03/2023,3009,27,
Jordan Belfort,23/03/2023,3008,25,
1007,23/03/2023,didn't answer,,
1004,23/03/2023,0,,
1005,24/03/2023,3007,274.68$,
1001,25/03/2023,3001,8496.27$,
1002,25/03/2023,call later maybe,,
1005,25/03/2023,no sale,,
1007,25/03/2023,almost,,
1006,26/03/2023,no,,
1003,26/03/2023,almost had him this time,,
Jordan Belfort,26/03/2023,3006,8870.96$,
1001,26/03/2023,3001,-380.52$,
1002,26/03/2023,3001,-380.52$,
1001,26/03/2023,3007,-17.52$,
Donnie Azoff,26/03/2023,3007,-17.52$,
1001,27/03/2023,3002,-2826.12$,
Jordan Belfort,27/03/2023,3002,14644.44$,
Jordan Belfort,27/03/2023,3002,-3596.88$,
Mark Hanna,27/03/2023,3007,109.5$,
1006,27/03/2023,3005,11867.04$,
1001,27/03/2023,3002,10533.72$,
1002,27/03/2023,no,,
1003,28/03/2023,3002,1027.8$,
Robbie Feinberg,28/03/2023,3002,1027.8$,
1001,29/03/2023,3007,73,
Donnie Azoff,29/03/2023,3007,319.01$,
1001,29/03/2023,3001,3484.6$,
1002,29/03/2023,Apple inc.,3484.6$,
1001,29/03/2023,3002,-4162.88$,
Mark Hanna,29/03/2023,3008,51,
1003,29/03/2023,3008,387.09$,
1001,29/03/2023,Talia Home Design,189.75$,
Donnie Azoff,29/03/2023,3008,25,
1003,29/03/2023,next time,,
Mark Hanna,29/03/2023,almost,,
1002,30/03/2023,3001,11242.8$,
1001,30/03/2023,3005,26,
1006,30/03/2023,3001,8994.24$,
1006,31/03/2023,no sale,,
